,train_feature,fold,layer,condition,accuracy
307,inconceivable,0,9,inconceivable,1.0
308,inconceivable,0,9,syntactic,1.0
309,inconceivable,0,9,train,0.9910714285714286
310,inconceivable,0,10,improbable,0.6071428571428571
311,inconceivable,0,10,impossible,0.8214285714285714
312,inconceivable,0,10,inconceivable,1.0
313,inconceivable,0,10,syntactic,1.0
314,inconceivable,0,10,train,0.9910714285714286
315,inconceivable,0,11,improbable,0.5357142857142857
316,inconceivable,0,11,impossible,0.8571428571428571
317,inconceivable,0,11,inconceivable,1.0
318,inconceivable,0,11,syntactic,1.0
319,inconceivable,0,11,train,1.0
320,inconceivable,0,12,improbable,0.6428571428571429
321,inconceivable,0,12,impossible,0.9285714285714286
322,inconceivable,0,12,inconceivable,1.0
323,inconceivable,0,12,syntactic,1.0
324,inconceivable,0,12,train,1.0
325,inconceivable,0,13,improbable,0.6071428571428571
326,inconceivable,0,13,impossible,0.9285714285714286
327,inconceivable,0,13,inconceivable,1.0
328,inconceivable,0,13,syntactic,1.0
329,inconceivable,0,13,train,1.0
330,inconceivable,0,14,improbable,0.7142857142857143
331,inconceivable,0,14,impossible,0.9285714285714286
332,inconceivable,0,14,inconceivable,1.0
333,inconceivable,0,14,syntactic,1.0
334,inconceivable,0,14,train,1.0
335,inconceivable,0,15,improbable,0.6428571428571429
336,inconceivable,0,15,impossible,0.9285714285714286
337,inconceivable,0,15,inconceivable,1.0
338,inconceivable,0,15,syntactic,1.0
339,inconceivable,0,15,train,0.9821428571428571
340,inconceivable,0,16,improbable,0.6071428571428571
341,inconceivable,0,16,impossible,0.9285714285714286
342,inconceivable,0,16,inconceivable,0.9642857142857143
343,inconceivable,0,16,syntactic,1.0
344,inconceivable,0,16,train,0.9910714285714286
345,inconceivable,0,17,improbable,0.6071428571428571
346,inconceivable,0,17,impossible,0.8571428571428571
347,inconceivable,0,17,inconceivable,1.0
348,inconceivable,0,17,syntactic,1.0
349,inconceivable,0,17,train,0.9732142857142857
350,inconceivable,0,18,improbable,0.7142857142857143
351,inconceivable,0,18,impossible,0.7857142857142857
352,inconceivable,0,18,inconceivable,1.0
353,inconceivable,0,18,syntactic,1.0
354,inconceivable,0,18,train,0.9642857142857143
355,inconceivable,0,19,improbable,0.6428571428571429
356,inconceivable,0,19,impossible,0.75
357,inconceivable,0,19,inconceivable,1.0
358,inconceivable,0,19,syntactic,1.0
359,inconceivable,0,19,train,0.9642857142857143
360,inconceivable,0,20,improbable,0.5714285714285714
361,inconceivable,0,20,impossible,0.8214285714285714
362,inconceivable,0,20,inconceivable,0.9642857142857143
363,inconceivable,0,20,syntactic,1.0
364,inconceivable,0,20,train,0.9732142857142857
365,inconceivable,0,21,improbable,0.5357142857142857
366,inconceivable,0,21,impossible,0.8214285714285714
367,inconceivable,0,21,inconceivable,1.0
368,inconceivable,0,21,syntactic,1.0
369,inconceivable,0,21,train,0.9732142857142857
370,inconceivable,0,22,improbable,0.5357142857142857
371,inconceivable,0,22,impossible,0.9642857142857143
372,inconceivable,0,22,inconceivable,1.0
373,inconceivable,0,22,syntactic,1.0
374,inconceivable,0,22,train,0.9732142857142857
375,inconceivable,0,23,improbable,0.5
376,inconceivable,0,23,impossible,0.8928571428571429
377,inconceivable,0,23,inconceivable,1.0
378,inconceivable,0,23,syntactic,1.0
379,inconceivable,0,23,train,0.9732142857142857
380,inconceivable,0,24,improbable,0.5714285714285714
381,inconceivable,0,24,impossible,0.8571428571428571
382,inconceivable,0,24,inconceivable,0.9285714285714286
383,inconceivable,0,24,syntactic,1.0
384,inconceivable,0,24,train,0.9642857142857143
385,inconceivable,0,25,improbable,0.6785714285714286
386,inconceivable,0,25,impossible,0.8571428571428571
387,inconceivable,0,25,inconceivable,0.9642857142857143
388,inconceivable,0,25,syntactic,0.9642857142857143
389,inconceivable,0,25,train,0.9821428571428571
390,syntactic,0,0,improbable,0.6071428571428571
391,syntactic,0,0,impossible,0.5357142857142857
392,syntactic,0,0,inconceivable,0.6071428571428571
393,syntactic,0,0,syntactic,1.0
